"county","dshs_region"
"Armstrong","1"
"Bailey","1"
"Borden","1"
"Briscoe","1"
"Carson","1"
"Castro","1"
"Childress","1"
"Cochran","1"
"Collingsworth","1"
"Crosby","1"
"Dallam","1"
"Dawson","1"
"Deaf Smith","1"
"Dickens","1"
"Donley","1"
"Floyd","1"
"Gaines","1"
"Garza","1"
"Gray","1"
"Hale","1"
"Hall","1"
"Hansford","1"
"Hartley","1"
"Hemphill","1"
"Hockley","1"
"Hutchinson","1"
"King","1"
"Lamb","1"
"Lipscomb","1"
"Lubbock","1"
"Lynn","1"
"Moore","1"
"Motley","1"
"Ochiltree","1"
"Oldham","1"
"Parmer","1"
"Potter","1"
"Randall","1"
"Roberts","1"
"Sherman","1"
"Swisher","1"
"Terry","1"
"Wheeler","1"
"Yoakum","1"
"Archer","2/3"
"Baylor","2/3"
"Brown","2/3"
"Callahan","2/3"
"Clay","2/3"
"Coleman","2/3"
"Comanche","2/3"
"Cottle","2/3"
"Eastland","2/3"
"Fisher","2/3"
"Foard","2/3"
"Hardeman","2/3"
"Haskell","2/3"
"Jack","2/3"
"Jones","2/3"
"Kent","2/3"
"Knox","2/3"
"Mitchell","2/3"
"Montague","2/3"
"Nolan","2/3"
"Scurry","2/3"
"Shackelford","2/3"
"Stephens","2/3"
"Stonewall","2/3"
"Taylor","2/3"
"Throckmorton","2/3"
"Wichita","2/3"
"Wilbarger","2/3"
"Young","2/3"
"Collin","2/3"
"Cooke","2/3"
"Dallas","2/3"
"Denton","2/3"
"Ellis","2/3"
"Erath","2/3"
"Fannin","2/3"
"Grayson","2/3"
"Hood","2/3"
"Hunt","2/3"
"Johnson","2/3"
"Kaufman","2/3"
"Navarro","2/3"
"Palo Pinto","2/3"
"Parker","2/3"
"Runnels","2/3"
"Rockwall","2/3"
"Somervell","2/3"
"Tarrant","2/3"
"Wise","2/3"
"Anderson","4/5N"
"Bowie","4/5N"
"Camp","4/5N"
"Cass","4/5N"
"Cherokee","4/5N"
"Delta","4/5N"
"Franklin","4/5N"
"Gregg","4/5N"
"Harrison","4/5N"
"Henderson","4/5N"
"Hopkins","4/5N"
"Lamar","4/5N"
"Marion","4/5N"
"Morris","4/5N"
"Panola","4/5N"
"Rains","4/5N"
"Red River","4/5N"
"Rusk","4/5N"
"Smith","4/5N"
"Titus","4/5N"
"Upshur","4/5N"
"Van Zandt","4/5N"
"Wood","4/5N"
"Angelina","4/5N"
"Jasper","4/5N"
"Newton","4/5N"
"Houston","4/5N"
"Nacogdoches","4/5N"
"Polk","4/5N"
"Sabine","4/5N"
"San Augustine","4/5N"
"San Jacinto","4/5N"
"Shelby","4/5N"
"Trinity","4/5N"
"Tyler","4/5N"
"Hardin","6/5S"
"Jefferson","6/5S"
"Liberty","6/5S"
"Orange","6/5S"
"Austin","6/5S"
"Brazoria","6/5S"
"Chambers","6/5S"
"Colorado","6/5S"
"Fort Bend","6/5S"
"Galveston","6/5S"
"Harris","6/5S"
"Matagorda","6/5S"
"Montgomery","6/5S"
"Walker","6/5S"
"Waller","6/5S"
"Wharton","6/5S"
"Bastrop","7"
"Bell","7"
"Blanco","7"
"Bosque","7"
"Brazos","7"
"Burleson","7"
"Burnet","7"
"Caldwell","7"
"Coryell","7"
"Falls","7"
"Fayette","7"
"Freestone","7"
"Grimes","7"
"Hamilton","7"
"Hays","7"
"Hill","7"
"Lampasas","7"
"Lee","7"
"Leon","7"
"Limestone","7"
"Llano","7"
"Madison","7"
"McLennan","7"
"Milam","7"
"Mills","7"
"Robertson","7"
"San Saba","7"
"Travis","7"
"Washington","7"
"Williamson","7"
"Atascosa","8"
"Bandera","8"
"Bexar","8"
"Calhoun","8"
"Comal","8"
"DeWitt","8"
"Dimmit","8"
"Edwards","8"
"Frio","8"
"Gillespie","8"
"Goliad","8"
"Gonzales","8"
"Guadalupe","8"
"Jackson","8"
"Karnes","8"
"Kendall","8"
"Kerr","8"
"Kinney","8"
"La Salle","8"
"Lavaca","8"
"Maverick","8"
"Medina","8"
"Real","8"
"Uvalde","8"
"Val Verde","8"
"Victoria","8"
"Wilson","8"
"Zavala","8"
"Andrews","9/10"
"Coke","9/10"
"Concho","9/10"
"Crane","9/10"
"Crockett","9/10"
"Ector","9/10"
"Glasscock","9/10"
"Howard","9/10"
"Irion","9/10"
"Loving","9/10"
"Martin","9/10"
"Mason","9/10"
"McCulloch","9/10"
"Menard","9/10"
"Midland","9/10"
"Kimble","9/10"
"Pecos","9/10"
"Reagan","9/10"
"Reeves","9/10"
"Schleicher","9/10"
"Sterling","9/10"
"Sutton","9/10"
"Terrell","9/10"
"Tom Green","9/10"
"Upton","9/10"
"Ward","9/10"
"Winkler","9/10"
"Brewster","9/10"
"Culberson","9/10"
"El Paso","9/10"
"Hudspeth","9/10"
"Jeff Davis","9/10"
"Presidio","9/10"
"Aransas","11"
"Bee","11"
"Brooks","11"
"Cameron","11"
"Duval","11"
"Hidalgo","11"
"Jim Hogg","11"
"Jim Wells","11"
"Kenedy","11"
"Kleberg","11"
"Live Oak","11"
"McMullen","11"
"Nueces","11"
"Refugio","11"
"San Patricio","11"
"Starr","11"
"Webb","11"
"Willacy","11"
"Zapata","11"
