"County","RAC","TSA"
"Armstrong","A","TSA-A"
"Briscoe","A","TSA-A"
"Carson","A","TSA-A"
"Childress","A","TSA-A"
"Collingsworth","A","TSA-A"
"Dallam","A","TSA-A"
"Deaf Smith","A","TSA-A"
"Donley","A","TSA-A"
"Gray","A","TSA-A"
"Hall","A","TSA-A"
"Hansford","A","TSA-A"
"Hartley","A","TSA-A"
"Hemphill","A","TSA-A"
"Hutchinson","A","TSA-A"
"Lipscomb","A","TSA-A"
"Moore","A","TSA-A"
"Ochiltree","A","TSA-A"
"Oldham","A","TSA-A"
"Parmer","A","TSA-A"
"Potter","A","TSA-A"
"Randall","A","TSA-A"
"Roberts","A","TSA-A"
"Sherman","A","TSA-A"
"Swisher","A","TSA-A"
"Wheeler","A","TSA-A"
"Bailey","B","TSA-B"
"Borden","B","TSA-B"
"Castro","B","TSA-B"
"Cochran","B","TSA-B"
"Cottle","B","TSA-B"
"Crosby","B","TSA-B"
"Dawson","B","TSA-B"
"Dickens","B","TSA-B"
"Floyd","B","TSA-B"
"Gaines","B","TSA-B"
"Garza","B","TSA-B"
"Hale","B","TSA-B"
"Hockley","B","TSA-B"
"Kent","B","TSA-B"
"King","B","TSA-B"
"Lamb","B","TSA-B"
"Lubbock","B","TSA-B"
"Lynn","B","TSA-B"
"Motley","B","TSA-B"
"Scurry","B","TSA-B"
"Terry","B","TSA-B"
"Yoakum","B","TSA-B"
"Archer","C","TSA-C"
"Baylor","C","TSA-C"
"Clay","C","TSA-C"
"Foard","C","TSA-C"
"Hardeman","C","TSA-C"
"Jack","C","TSA-C"
"Montague","C","TSA-C"
"Wichita","C","TSA-C"
"Wilbarger","C","TSA-C"
"Young","C","TSA-C"
"Brown","D","TSA-D"
"Callahan","D","TSA-D"
"Coleman","D","TSA-D"
"Comanche","D","TSA-D"
"Eastland","D","TSA-D"
"Fisher","D","TSA-D"
"Haskell","D","TSA-D"
"Jones","D","TSA-D"
"Knox","D","TSA-D"
"Mitchell","D","TSA-D"
"Nolan","D","TSA-D"
"Shackelford","D","TSA-D"
"Stephens","D","TSA-D"
"Stonewall","D","TSA-D"
"Taylor","D","TSA-D"
"Throckmorton","D","TSA-D"
"Collin","E","TSA-E"
"Cooke","E","TSA-E"
"Dallas","E","TSA-E"
"Denton","E","TSA-E"
"Ellis","E","TSA-E"
"Erath","E","TSA-E"
"Fannin","E","TSA-E"
"Grayson","E","TSA-E"
"Hood","E","TSA-E"
"Hunt","E","TSA-E"
"Johnson","E","TSA-E"
"Kaufman","E","TSA-E"
"Navarro","E","TSA-E"
"Palo Pinto","E","TSA-E"
"Parker","E","TSA-E"
"Rockwall","E","TSA-E"
"Somervell","E","TSA-E"
"Tarrant","E","TSA-E"
"Wise","E","TSA-E"
"Bowie","F","TSA-F"
"Cass","F","TSA-F"
"Delta","F","TSA-F"
"Hopkins","F","TSA-F"
"Lamar","F","TSA-F"
"Morris","F","TSA-F"
"Red River","F","TSA-F"
"Titus","F","TSA-F"
"Anderson","G","TSA-G"
"Camp","G","TSA-G"
"Cherokee","G","TSA-G"
"Franklin","G","TSA-G"
"Freestone","G","TSA-G"
"Gregg","G","TSA-G"
"Harrison","G","TSA-G"
"Henderson","G","TSA-G"
"Houston","G","TSA-G"
"Marion","G","TSA-G"
"Panola","G","TSA-G"
"Rains","G","TSA-G"
"Rusk","G","TSA-G"
"Shelby","G","TSA-G"
"Smith","G","TSA-G"
"Trinity","G","TSA-G"
"Upshur","G","TSA-G"
"Van Zandt","G","TSA-G"
"Wood","G","TSA-G"
"Angelina","H","TSA-H"
"Nacogdoches","H","TSA-H"
"Polk","H","TSA-H"
"Sabine","H","TSA-H"
"San Augustine","H","TSA-H"
"San Jacinto","H","TSA-H"
"Tyler","H","TSA-H"
"Culberson","I","TSA-I"
"El Paso","I","TSA-I"
"Hudspeth","I","TSA-I"
"Andrews","J","TSA-J"
"Brewster","J","TSA-J"
"Crane","J","TSA-J"
"Ector","J","TSA-J"
"Glasscock","J","TSA-J"
"Howard","J","TSA-J"
"Jeff Davis","J","TSA-J"
"Loving","J","TSA-J"
"Martin","J","TSA-J"
"Midland","J","TSA-J"
"Pecos","J","TSA-J"
"Presidio","J","TSA-J"
"Reeves","J","TSA-J"
"Terrell","J","TSA-J"
"Upton","J","TSA-J"
"Ward","J","TSA-J"
"Winkler","J","TSA-J"
"Coke","K","TSA-K"
"Concho","K","TSA-K"
"Crockett","K","TSA-K"
"Irion","K","TSA-K"
"Kimble","K","TSA-K"
"Mason","K","TSA-K"
"McCulloch","K","TSA-K"
"Menard","K","TSA-K"
"Reagan","K","TSA-K"
"Runnels","K","TSA-K"
"Schleicher","K","TSA-K"
"Sterling","K","TSA-K"
"Sutton","K","TSA-K"
"Tom Green","K","TSA-K"
"Bell","L","TSA-L"
"Coryell","L","TSA-L"
"Hamilton","L","TSA-L"
"Lampasas","L","TSA-L"
"Milam","L","TSA-L"
"Mills","L","TSA-L"
"Bosque","M","TSA-M"
"Falls","M","TSA-M"
"Hill","M","TSA-M"
"Limestone","M","TSA-M"
"McLennan","M","TSA-M"
"Brazos","N","TSA-N"
"Burleson","N","TSA-N"
"Grimes","N","TSA-N"
"Leon","N","TSA-N"
"Madison","N","TSA-N"
"Robertson","N","TSA-N"
"Washington","N","TSA-N"
"Bastrop","O","TSA-O"
"Blanco","O","TSA-O"
"Burnet","O","TSA-O"
"Caldwell","O","TSA-O"
"Fayette","O","TSA-O"
"Hays","O","TSA-O"
"Lee","O","TSA-O"
"Llano","O","TSA-O"
"San Saba","O","TSA-O"
"Travis","O","TSA-O"
"Williamson","O","TSA-O"
"Atascosa","P","TSA-P"
"Bandera","P","TSA-P"
"Bexar","P","TSA-P"
"Comal","P","TSA-P"
"Dimmit","P","TSA-P"
"Edwards","P","TSA-P"
"Frio","P","TSA-P"
"Gillespie","P","TSA-P"
"Gonzales","P","TSA-P"
"Guadalupe","P","TSA-P"
"Karnes","P","TSA-P"
"Kendall","P","TSA-P"
"Kerr","P","TSA-P"
"Kinney","P","TSA-P"
"La Salle","P","TSA-P"
"Maverick","P","TSA-P"
"Medina","P","TSA-P"
"Real","P","TSA-P"
"Uvalde","P","TSA-P"
"Val Verde","P","TSA-P"
"Wilson","P","TSA-P"
"Zavala","P","TSA-P"
"Austin","Q","TSA-Q"
"Colorado","Q","TSA-Q"
"Fort Bend","Q","TSA-Q"
"Harris","Q","TSA-Q"
"Matagorda","Q","TSA-Q"
"Montgomery","Q","TSA-Q"
"Walker","Q","TSA-Q"
"Waller","Q","TSA-Q"
"Wharton","Q","TSA-Q"
"Brazoria","R","TSA-R"
"Chambers","R","TSA-R"
"Galveston","R","TSA-R"
"Hardin","R","TSA-R"
"Jasper","R","TSA-R"
"Jefferson","R","TSA-R"
"Liberty","R","TSA-R"
"Newton","R","TSA-R"
"Orange","R","TSA-R"
"Calhoun","S","TSA-S"
"DeWitt","S","TSA-S"
"Goliad","S","TSA-S"
"Jackson","S","TSA-S"
"Lavaca","S","TSA-S"
"Victoria","S","TSA-S"
"Jim Hogg","T","TSA-T"
"Webb","T","TSA-T"
"Zapata","T","TSA-T"
"Aransas","U","TSA-U"
"Bee","U","TSA-U"
"Brooks","U","TSA-U"
"Duval","U","TSA-U"
"Jim Wells","U","TSA-U"
"Kenedy","U","TSA-U"
"Kleberg","U","TSA-U"
"Live Oak","U","TSA-U"
"McMullen","U","TSA-U"
"Nueces","U","TSA-U"
"Refugio","U","TSA-U"
"San Patricio","U","TSA-U"
"Cameron","V","TSA-V"
"Hidalgo","V","TSA-V"
"Starr","V","TSA-V"
"Willacy","V","TSA-V"
